prox.horizontal[0] ," prox.horizontal[1]" ," prox.horizontal[2]" ," prox.horizontal[3]" ," prox.horizontal[4]" ," prox.horizontal[5]" ," prox.horizontal[6]" , "timestamp"
0.000000,2953.000000,3419.000000,2298.000000,0.000000,0.000000,0.000000,18434.000000
0.000000,2950.000000,3419.000000,2298.000000,0.000000,0.000000,0.000000,18585.000000
0.000000,2949.000000,3421.000000,2296.000000,0.000000,0.000000,0.000000,18734.000000
0.000000,2958.000000,3422.000000,2295.000000,0.000000,0.000000,0.000000,18869.000000
0.000000,2955.000000,3420.000000,2299.000000,0.000000,0.000000,0.000000,19013.000000
0.000000,2952.000000,3417.000000,2298.000000,0.000000,0.000000,0.000000,19147.000000
0.000000,2953.000000,3420.000000,2296.000000,0.000000,0.000000,0.000000,19287.000000
0.000000,2951.000000,3423.000000,2297.000000,0.000000,0.000000,0.000000,19422.000000
0.000000,2948.000000,3411.000000,2297.000000,0.000000,0.000000,0.000000,19570.000000
0.000000,2950.000000,3424.000000,2295.000000,0.000000,0.000000,0.000000,19724.000000
0.000000,2955.000000,3421.000000,2299.000000,0.000000,0.000000,0.000000,19873.000000
0.000000,2952.000000,3418.000000,2297.000000,0.000000,0.000000,0.000000,20038.000000
0.000000,2953.000000,3420.000000,2300.000000,0.000000,0.000000,0.000000,20182.000000
0.000000,2953.000000,3419.000000,2300.000000,0.000000,0.000000,0.000000,20326.000000
0.000000,2953.000000,3419.000000,2301.000000,0.000000,0.000000,0.000000,20463.000000
0.000000,2953.000000,3418.000000,2301.000000,0.000000,0.000000,0.000000,20627.000000
0.000000,2954.000000,3419.000000,2299.000000,0.000000,0.000000,0.000000,20770.000000
0.000000,2957.000000,3420.000000,2304.000000,0.000000,0.000000,0.000000,20919.000000
0.000000,2954.000000,3423.000000,2300.000000,0.000000,0.000000,0.000000,21060.000000
0.000000,2954.000000,3421.000000,2302.000000,0.000000,0.000000,0.000000,21206.000000
0.000000,2935.000000,3413.000000,2313.000000,0.000000,0.000000,0.000000,21348.000000
